family,model_id,dataset,source_dataset,preprocessing_variant,samples,cer_mean,cer_median,corpus_cer,wer_mean,wer_median,corpus_wer,cla_mean,corpus_cla,crw_mean,corpus_crw,char_accuracy_mean,corpus_char_accuracy,word_accuracy_mean,corpus_word_accuracy,exact_match_rate,reference_chars,edit_distance_chars,char_substitutions,char_insertions,char_deletions,char_correct,reference_words,edit_distance_words,word_substitutions,word_insertions,word_deletions,correct_recognized_words,inference_seconds_total,inference_seconds_mean,inference_seconds_median,rss_after_mb_max,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,model_short
CRNN/Kraken,CRNN/Kraken,polish_forms_all,polish_forms,native,2313,0.7681776106074023,0.775,0.7639909773266441,1.0400311402581184,1.0,1.0292408392977306,0.5495647305240547,0.5520164897133746,0.006378730795073207,0.007463143084357986,0.23182238939259767,0.23600902267335588,0.0036186240142141563,0.0,0.0,102852,78578,44824,1252,32502,25526,16347,16825,12833,600,3392,122,1373.591615602374,0.5938571619551984,0.5777305999072269,1278.0,,,CRNN/Kraken
Qwen3VL,Qwen/Qwen3-VL-2B-Instruct,polish_forms_all,polish_forms,native,2313,0.21252374024665707,0.1395348837209302,0.21374402053436006,0.504833399775034,0.4285714285714285,0.49379090964703004,0.8145592252370857,0.8139851437016296,0.5626816463068084,0.5627332232213862,0.8010937991852982,0.78625597946564,0.5267424413987319,0.5062090903529699,0.09987029831387809,102852,21984,14205,4927,2852,85795,16347,8072,6770,924,378,9199,16763.32379539858,7.247437870902975,7.1556399000110105,4209.87890625,4229.2041015625,4314.0,Qwen3-VL-2B-Instruct
TrOCR,microsoft/trocr-base-handwritten,polish_forms_all,polish_forms,native,2313,0.8061411823705433,0.75,0.7898631042663244,1.4403859950876812,1.375,1.400440447788585,0.23112732003556224,0.24892077937230195,0.03994659085450265,0.04074142044411819,0.2572402487072722,0.21013689573367555,0.0038859036913511617,0.0,0.0,102852,81239,45600,31650,3989,53263,16347,22893,15342,7212,339,666,4018.119376202114,1.7371895271085662,1.5720098000019789,1091.25390625,690.29443359375,774.0,trocr-base
TrOCR,microsoft/trocr-large-handwritten,polish_forms_all,polish_forms,native,2313,0.5642299693448418,0.5614035087719298,0.5659880216233034,1.1715104538061736,1.1111111111111112,1.1499969413348015,0.4979329219781412,0.49664566561661416,0.05915616544669722,0.058848718419281826,0.4366662200452022,0.4340119783766966,0.02494612919385941,0.0,0.0,102852,58213,40017,11754,6442,56393,16347,18799,14807,3414,578,962,5032.247885399847,2.1756367857327485,2.1549720000475645,1004.48828125,1107.2158203125,1138.0,trocr-large
TrOCR,microsoft/trocr-small-handwritten,polish_forms_all,polish_forms,native,2313,0.9069137276492091,0.6792452830188679,0.8258274024812352,1.394503446546248,1.1111111111111112,1.2922248730653942,0.18234087391197637,0.2656827285808735,0.036279274119741044,0.03860035480516303,0.32121405182358875,0.1741725975187648,0.013667244990202188,0.0,0.0,102852,84938,47483,28043,9412,45957,16347,21124,14554,5408,1162,631,548.4119109002639,0.2370998317770272,0.1755860000266693,1575.81640625,163.14111328125,474.0,trocr-small
