birth_year_label,kobieta,mężczyzna,unknown,razem
2005,0,20,0,20
2006,24,105,0,129
2007,85,275,0,360
2008,79,295,8,382
2009,165,256,7,428
2010,310,388,0,698
2011,70,36,0,106
2012,56,6,0,62
2013,64,10,0,74
2014,39,8,0,47
unknown,0,7,0,7
razem,892,1406,15,2313
