model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
Qwen/Qwen3-VL-2B-Instruct,iam,iam,native,IAM-test,200,0.06017833340608534,0.977461037348793,536,9630,170,28,0.30394580881364935,0.6987030007101602,626,1989,1368,4.364219220008235,4197.37939453125,4296.0,0.05565939771547248,0.31473102061337355,0.9794392523364486,0.6877828054298643,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.0603617421606537,0.9437526083263247,222,9470,170,15,0.12471387259693711,0.8771726481403901,126,1630,1507,2.998501092317559,4219.75439453125,4294.0,0.023442449841605068,0.07730061349693251,0.9804646251319957,0.9245398773006135,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.21201698288629336,0.838868101408611,846,5077,459,138,0.5411435786435786,0.4971139971139971,461,906,480,2.4869010897527914,4129.89404296875,4294.0,0.16663383888122907,0.5088300220750552,0.8824108725625369,0.5298013245033113,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_raw,malaysian,raw,LPD,248,0.057454490139884844,0.9470312952372887,236,9470,179,17,0.13596957478005864,0.8655137201508168,145,1630,1488,3.162554113297618,4220.7783203125,4294.0,0.0249208025343189,0.08895705521472393,0.9793030623020064,0.912883435582822,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_raw,malaysian,raw,PD,176,0.2104181014334358,0.8372813214554369,839,5077,474,129,0.5246730699855701,0.5069151334776335,449,906,484,2.6494421994112516,4129.89404296875,4294.0,0.1652550718928501,0.4955849889624724,0.8812290722867835,0.5342163355408388,Qwen3-VL-2B-Instruct
