model_id,dataset,source_dataset,preprocessing_variant,samples,cer_mean,cer_median,corpus_cer,wer_mean,wer_median,corpus_wer,cla_mean,corpus_cla,crw_mean,corpus_crw,char_accuracy_mean,corpus_char_accuracy,word_accuracy_mean,corpus_word_accuracy,exact_match_rate,reference_chars,edit_distance_chars,char_substitutions,char_insertions,char_deletions,char_correct,reference_words,edit_distance_words,word_substitutions,word_insertions,word_deletions,correct_recognized_words,inference_seconds_total,inference_seconds_mean,inference_seconds_median,rss_after_mb_max,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,model_short
Qwen/Qwen3-VL-2B-Instruct,iam,iam,native,200,0.06017833340608534,0.042109929078014155,0.05565939771547248,0.30394580881364935,0.2792207792207792,0.31473102061337355,0.977461037348793,0.9794392523364486,0.6987030007101602,0.6877828054298643,0.9398216665939146,0.9443406022845275,0.6960541911863507,0.6852689793866265,0.17,9630,536,170,28,338,9122,1989,626,332,5,289,1368,872.8438440016471,4.364219220008235,4.497942749876529,591.2109375,4197.37939453125,4296.0,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_auto_invert,malaysian,auto_invert,424,0.12331297415997584,0.0227272727272727,0.07341719942256135,0.2975714864276185,0.125,0.23146687697160884,0.9002156431906699,0.9462432116587612,0.7194124533747176,0.7835173501577287,0.8775034264205757,0.9265828005774387,0.7115480104277274,0.7685331230283912,0.45990566037735847,14547,1068,629,153,286,13632,2536,587,400,38,149,1987,1181.322862691246,2.786138827101995,2.714061849983409,1345.74609375,4219.75439453125,4294.0,Qwen3-VL-2B-Instruct
Qwen/Qwen3-VL-2B-Instruct,malaysian_raw,malaysian,raw,424,0.1209488193560758,0.0232558139534883,0.07389839829518113,0.297318195431403,0.1428571428571428,0.23422712933753942,0.9014747023467086,0.945074585825256,0.7166614766260992,0.777602523659306,0.8809016886265076,0.9261016017048189,0.7052761441912385,0.7657728706624606,0.44339622641509435,14547,1075,653,146,276,13618,2536,594,410,30,154,1972,1250.6152471941896,2.949564262250447,2.896585099864751,971.4296875,4220.7783203125,4294.0,Qwen3-VL-2B-Instruct
