model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw,model_short
CRNN/Kraken,iam,iam,native,IAM-test,200,0.4490047530511309,0.6897011945997396,4307,9630,2771,205,0.9131320795647422,0.10241018372752117,1811,1989,203,0.3853961050102953,,,0.44724818276220146,0.910507792860734,0.6909657320872274,0.102061337355455,CRNN/Kraken
CRNN/Kraken,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.37898518076478277,0.6921465685829415,3384,9470,2544,230,0.9054486396220267,0.12244812758925662,1456,1630,220,0.39865246492873635,,,0.3573389651531151,0.8932515337423312,0.7070749736008448,0.13496932515337423,CRNN/Kraken
CRNN/Kraken,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.522266464909959,0.6012873888052789,2519,5077,1796,127,0.9909677128427128,0.047071158008658,890,906,46,0.27537243408997625,,,0.49615914910380143,0.9823399558498896,0.6212330116210361,0.05077262693156733,CRNN/Kraken
CRNN/Kraken,malaysian_raw,malaysian,raw,LPD,248,0.9228764201922509,0.6498777035679189,8679,9470,2590,256,1.0283570148489505,0.0,1674,1630,0,0.26325107540375725,,,0.9164730728616685,1.026993865030675,0.6994720168954593,0.0,CRNN/Kraken
CRNN/Kraken,malaysian_raw,malaysian,raw,PD,176,0.942667334680293,0.6477439804456372,4749,5077,1568,92,1.0186958874458876,0.0,921,906,0,0.22885736648194402,,,0.9353949182588143,1.0165562913907285,0.67303525704156,0.0,CRNN/Kraken
