model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw
kraken_standard_local_10ep,polish_forms_test,polish_forms,native,dysgrafia,46,0.027498764268771268,0.9862997684802232,53,2044,20,7,0.141796066252588,0.8652691511387163,42,330,290,0.07385711306098687,,,0.02592954990215264,0.12727272727272726,0.9867906066536204,0.8787878787878788
kraken_standard_local_10ep,polish_forms_test,polish_forms,native,inne,36,0.03300078806023904,0.9745020677998818,56,1565,15,26,0.14167768959435625,0.8992173721340387,33,245,220,0.07367927222771363,,,0.03578274760383387,0.1346938775510204,0.9738019169329073,0.8979591836734694
kraken_standard_local_10ep,polish_forms_test,polish_forms,native,nie,159,0.021238129960540524,0.9886645511519433,157,7121,56,24,0.09648098233003893,0.9065763202555657,109,1148,1042,0.15721302137727727,,,0.022047465243645554,0.09494773519163763,0.9887656228057857,0.9076655052264808
