model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw
kraken_standard_local_10ep_malaysian_auto_invert,malaysian_auto_invert,malaysian,auto_invert,LPD,248,0.6218327969912303,0.5490878759544576,5780,9470,3772,272,1.0357214134431876,0.013136113438532793,1681,1630,24,0.11011782861990674,,,0.6103484688489969,1.0312883435582823,0.5729672650475185,0.014723926380368098
kraken_standard_local_10ep_malaysian_auto_invert,malaysian_auto_invert,malaysian,auto_invert,PD,176,0.7836428095561085,0.5815470146932242,3877,5077,1956,106,1.1205357142857144,0.0008116883116883116,1001,906,1,0.05803176760805813,,,0.7636399448493205,1.1048565121412803,0.5938546385660823,0.0011037527593818985
