model_id,dataset,source_dataset,preprocessing_variant,group,samples,cer_mean,cla_mean,corpus_edit_distance_chars,corpus_reference_chars,corpus_char_substitutions,corpus_char_insertions,wer_mean,crw_mean,corpus_edit_distance_words,corpus_reference_words,corpus_correct_recognized_words,inference_seconds_mean,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,corpus_cer,corpus_wer,corpus_cla,corpus_crw
kraken_dysgraphia_oversampled_local_10ep,polish_forms_test,polish_forms,native,dysgrafia,46,0.022179015751735354,0.9842488725193962,43,2044,18,13,0.11674430641821947,0.8832556935817806,35,330,295,0.07486038260749014,,,0.021037181996086105,0.10606060606060606,0.9848336594911937,0.8939393939393939
kraken_dysgraphia_oversampled_local_10ep,polish_forms_test,polish_forms,native,inne,36,0.0416138745775838,0.9667859929554107,71,1565,19,36,0.1456459435626102,0.8796626984126985,36,245,214,0.07421385554415691,,,0.04536741214057508,0.1469387755102041,0.9648562300319489,0.8734693877551021
kraken_dysgraphia_oversampled_local_10ep,polish_forms_test,polish_forms,native,nie,159,0.018965751239389407,0.9902881583229931,136,7121,43,24,0.08654786862334032,0.9141509433962264,93,1148,1056,0.1529908421341002,,,0.0190984412301643,0.08101045296167247,0.9905912090998455,0.9198606271777003
