Model,Group,N,Corpus CER,Corpus WER,Corpus CLA,Corpus CRW,Sec/sample
CRNN/Kraken,LPD,248,0.357,0.893,0.707,0.135,0.399
CRNN/Kraken,PD,176,0.496,0.982,0.621,0.051,0.275
