model,group,samples,corpus_cer,corpus_wer,corpus_cla,corpus_crw
Qwen3-VL,LPD,248,0.023442449841605,0.0773006134969325,0.9804646251319956,0.9245398773006136
Qwen3-VL,PD,176,0.166633838881229,0.5088300220750552,0.8824108725625369,0.5298013245033113
TrOCR-large,LPD,248,0.1462513199577613,0.6766871165644172,0.8728616684266104,0.452760736196319
TrOCR-large,PD,176,0.272011030135907,0.9227373068432672,0.7827457159740004,0.184326710816777
Kraken/CRNN,LPD,248,0.3573389651531151,0.8932515337423312,0.7070749736008448,0.1349693251533742
Kraken/CRNN,PD,176,0.4961591491038014,0.9823399558498896,0.6212330116210361,0.0507726269315673
