model_id,dataset,source_dataset,preprocessing_variant,samples,cer_mean,cer_median,corpus_cer,wer_mean,wer_median,corpus_wer,cla_mean,corpus_cla,crw_mean,corpus_crw,char_accuracy_mean,corpus_char_accuracy,word_accuracy_mean,corpus_word_accuracy,exact_match_rate,reference_chars,edit_distance_chars,char_substitutions,char_insertions,char_deletions,char_correct,reference_words,edit_distance_words,word_substitutions,word_insertions,word_deletions,correct_recognized_words,inference_seconds_total,inference_seconds_mean,inference_seconds_median,rss_after_mb_max,cuda_peak_allocated_mb_max,cuda_peak_reserved_mb_max,model_short
microsoft/trocr-base-handwritten,iam,iam,native,200,0.054192576472148105,0.02185857620640225,0.050986500519210796,0.13251297535024315,0.1,0.1297134238310709,0.9566462861158622,0.9592938733125649,0.8830270679398001,0.8843640020110608,0.945807423527852,0.9490134994807892,0.8674870246497568,0.8702865761689291,0.405,9630,491,279,113,99,9252,1989,258,187,28,43,1759,201.34499070071615,1.0067249535035807,0.9452445750357583,599.34375,690.00048828125,782.0,trocr-base
microsoft/trocr-base-handwritten,malaysian_auto_invert,malaysian,auto_invert,424,0.3195417658641665,0.25,0.2765518663641988,1.007347055460263,1.0,0.9100946372239748,0.7073755314941264,0.7513576682477486,0.2354988564894225,0.2610410094637224,0.6921933249098393,0.7234481336358012,0.1489225986277873,0.08990536277602523,0.0023584905660377358,14547,4023,2316,1301,406,11825,2536,2308,1709,434,165,662,531.0206434039865,1.2524071778395907,1.20724890002748,1420.265625,690.0009765625,706.0,trocr-base
microsoft/trocr-base-handwritten,malaysian_raw,malaysian,raw,424,0.9013061877446015,0.8,0.8299993125730392,1.3161802492580794,1.1666666666666667,1.233832807570978,0.14488318090492577,0.2232075341994913,0.0025550314465408804,0.0015772870662460567,0.19561399141938984,0.17000068742696084,0.0005896226415094339,0.0,0.0,14547,12074,8341,2959,774,5432,2536,3129,2488,597,44,4,415.7455464003142,0.9805319490573448,0.879265449999366,766.66796875,693.2939453125,782.0,trocr-base
microsoft/trocr-large-handwritten,iam,iam,native,200,0.04601036069453692,0.0208333333333333,0.042782969885773625,0.11373429283994298,0.0909090909090909,0.10910005027652087,0.9653593607871911,0.967601246105919,0.890103655975947,0.8944193061840121,0.953989639305463,0.9572170301142264,0.886265707160057,0.8908999497234791,0.44,9630,412,249,63,100,9281,1989,217,170,7,40,1779,345.5581154010724,1.727790577005362,1.6523602500092238,336.1796875,1108.48486328125,1126.0,trocr-large
microsoft/trocr-large-handwritten,malaysian_auto_invert,malaysian,auto_invert,424,0.20935085009912444,0.1818181818181818,0.19014229738090327,0.8509060449508563,0.8333333333333334,0.764589905362776,0.8209594834993879,0.8414106001237368,0.33475948841514874,0.35686119873817035,0.7906491499008755,0.8098577026190967,0.2388729784366577,0.23541009463722395,0.0,14547,2766,1580,727,459,12508,2536,1939,1461,308,170,905,852.7699166019447,2.011249803306473,1.9551007749978453,405.40625,1108.4853515625,1126.0,trocr-large
microsoft/trocr-large-handwritten,malaysian_raw,malaysian,raw,424,0.43205480671003627,0.42488716956802064,0.45122705712518046,1.1030628045958235,1.0,1.0512618296529967,0.6126697744785307,0.6021172750395271,0.09484433281603091,0.08004731861198738,0.5691244385729826,0.5487729428748196,0.049029547496528623,0.0,0.0023584905660377358,14547,6564,4628,1160,776,9143,2536,2666,2223,333,110,203,725.8813187000342,1.7119842422170617,1.7110717250034213,119.3046875,1108.48486328125,1126.0,trocr-large
microsoft/trocr-small-handwritten,iam,iam,native,200,0.07080576450007209,0.0333333333333333,0.06635514018691589,0.15743537748800907,0.1111111111111111,0.15233785822021115,0.9458177327092233,0.9461059190031152,0.8551232256735353,0.8607340372046255,0.9291942354999279,0.9336448598130841,0.8425646225119909,0.8476621417797888,0.355,9630,639,393,126,120,9117,1989,303,231,26,46,1712,30.401485098525875,0.15200742549262938,0.1455069000367075,1346.015625,142.1396484375,322.0,trocr-small
microsoft/trocr-small-handwritten,malaysian_auto_invert,malaysian,auto_invert,424,0.35068745701331305,0.3007936507936507,0.3136729222520107,1.0081722719104795,1.0,0.917981072555205,0.685093543287372,0.7211108819687908,0.17694575471698112,0.20504731861198738,0.659069916686734,0.6863270777479893,0.131302581066732,0.082018927444795,0.0023584905660377358,14547,4563,2841,1216,506,11200,2536,2328,1678,312,338,520,84.96514940075575,0.20038950330366923,0.19193879998056212,1330.91015625,142.1396484375,160.0,trocr-small
microsoft/trocr-small-handwritten,malaysian_raw,malaysian,raw,424,1.1240699818908715,0.8319209039548023,0.889118031209184,1.661870728851861,1.2,1.3422712933753944,-0.078359336575865,0.16127036502371622,0.0021713087750823597,0.001971608832807571,0.18153042133645542,0.11088196879081602,0.00039308176100628917,0.0,0.0,14547,12934,8108,4093,733,5706,2536,3404,2483,873,48,5,63.32120330142787,0.14934246061657516,0.13822204997995863,1338.05078125,164.11767578125,322.0,trocr-small
